contestant_id,name,first_name,last_name,nick_name,hometown,photo_url
103755,Anita Ellis,Anita,Ellis,,"Blackfoot, ID",
105347,Jesse Harris,Jesse,Harris,,"Itasca, TX",
74776,Kara Kreder,Kara,Kreder,,"Decatur, TX",
105421,Taylor Baize,Taylor,Baize,,"San Angelo, TX",
114272,Molly Harper,Molly,Harper,,"Gardendale, TX",
91036,Lindsey McCuistion,Lindsey,McCuistion,,"Sanger, TX",
105728,Brooklyn Balch,Brooklyn,Balch,,"Buckholts, TX",
97755,Ashley Parks,Ashley,Parks,,"Dania Beach, FL",
102110,Josey Murphy,Josey,Murphy,,"Keachi, LA",
75108,Katelyn Scott,Katelyn,Scott,,"Odessa, TX",
97696,BryAnna Haluptzok,BryAnna,Haluptzok,,"Ardmore, OK",
73915,Sharin Hall,Sharin,Hall,,"Pilot Point, TX",
107846,Alyssa MacDonald,Alyssa,MacDonald,,"Hallettsville, TX",
73569,Cheyenne Wimberley,Cheyenne,Wimberley,,"Stephenville, TX",/images/2020/11/5/10_Wimberley_Cheyenne_2019_blue.png
76021,Cassidy Deen,Cassidy,Deen,,"Wills Point, TX",
106789,Gracen Harman,Gracen,Harman,,"Hempstead, TX",
105534,Kaycee Killingsworth,Kaycee,Killingsworth,,"Thrall, TX",
74027,Andrea Busby,Andrea,Busby,,"Brock, TX",/images/2024/11/26/Busby_Andrea.png
74515,Bobbi Olson,Bobbi,Olson,,"Sheyenne, ND",
110042,Faith Nolte,Faith,Nolte,,"Purmela, TX",
101004,Katie Halbert,Katie,Halbert,,"Port Lavaca, TX",
107852,Krystal Dillman,Krystal,Dillman,,"Navasota, TX",
73958,Michelle Alley,Michelle,Alley,,"Madisonville, TX",
100885,Steely Steiner,Steely,Steiner,,"Weatherford, TX",
107724,Julie Plourde,Julie,Plourde,,"Krum, TX",
108604,Emma Ricke,Emma,Ricke,,"Lawton, IA",
76744,Jackie Ganter,Jackie,Ganter,,"Abilene, TX",
95202,Sissy Winn,Sissy,Winn,,"Chapman Ranch, TX",/images/2022/10/20/sissy_winn_2_71.png
104667,Fallon Forbes Hale,Fallon,Forbes Hale,,"O'Donnell, TX",
73870,LaTricia Duke,LaTricia,Duke,,"Henrietta, TX",/images/2024/11/26/Duke_LaTricia_24.png
73782,Jana Bean,Jana,Bean,,"Ft. Hancock, TX",
105293,Acey Pinkston,Acey,Pinkston,,"Stephenville, TX",
112055,Morgan Bagnell,Morgan,Bagnell,,"Heath, TX",
110044,Emma Parr,Emma,Parr,,"Greensboro, AL",
110182,Makenzie Mayes,Makenzie,Mayes,,"Scroggins, TX",
102751,Jordan Driver,Jordan,Driver,,"Garden City, TX",
100998,Tayla Moeykens,Tayla,Moeykens,,"Three Forks, MT",
74320,Ryann Pedone,Ryann,Pedone,,"Thackerville, OK",/images/2020/11/5/11_Pedone_Ryann_Blue.png
103082,Sydney Graham,Sydney,Graham,,"Abilene, TX",
74344,Carlee Otero,Carlee,Otero,,"Lipan, TX",/images/2024/11/26/Otero_Carlee.png
109038,Blake Molle,Blake,Molle,,"Chauvin, AB",
103282,Kappie Bryant,Kappie,Bryant,,"Sunset, TX",
74769,Emily Beisel,Emily,Beisel,,"Weatherford, OK",/images/2020/11/5/12_Miller_Emily_blue.png
92197,Hailey Kinsel,Hailey,Kinsel,,"Cotulla, TX",/images/2024/11/26/hailey_kinsel.png
96299,Halyn Lide,Halyn,Lide,,"China Spring, TX",/images/2024/11/26/Lide_Halyn.png
96693,Helen Nowosad,Helen,Nowosad,,"Stephenville, TX",
97631,Ashley Castleberry,Ashley,Castleberry,,"Montgomery, TX",/images/2024/11/26/Castleberry_Ashley.png
99561,Austyn Tobey,Austyn,Tobey,,"Bemidji, MN",
104534,McKenna Coronado,McKenna,Coronado,,"Kanarraville, UT",
74645,Stevi Hillman,Stevi,Hillman,,"Granbury, TX",/images/2022/11/11/2022_stevi_hillman.png
110085,Morgan Addison,Morgan,Addison,,"Wolfforth, TX",
74067,Shelley Morgan,Shelley,Morgan,,"Eustace, TX",/images/2022/11/11/2022_shelley_morgan.png
96251,Alyssa Urbanek-Wade,Alyssa,Urbanek-Wade,,"Stephenville, TX",
74779,Lacey Donegan,Lacey,Donegan,,"Bluff Dale, TX",
92663,Jodee Miller Pedone,Jodee,Miller Pedone,,"Santo, TX",
73894,Brittany Pozzi Tonozzi,Brittany,Pozzi Tonozzi,,"Lampasas, TX",/images/2020/11/4/brittany_pozzi_2020.png
75813,Stephanie Fryar,Stephanie,Fryar,,"Waco, TX",
73897,Neelley Armes,Neelley,Armes,,"Stephenville, TX",
74053,Ashley Guest-Armstrong,Ashley,Guest-Armstrong,,"Rocksprings, TX",
93729,Loni Yates,Loni,Yates,,"Gonzales, TX",
100026,McKenna Hickson,McKenna,Hickson,,"Casper, WY",
100197,Shayla Smith,Shayla,Smith,,"Stephenville, TX",
100331,Lari Guy,Lari,Guy,,"Abilene, TX",/images/2020/11/10/06_Guy_Lari_Dee_blue.png
100336,Hope Thompson,Hope,Thompson,,"Abilene, TX",/images/2020/11/11/13_Thompson_Hope_Blue.png
100366,Cadee Williams,Cadee,Williams,,"Big Timber, MT",
100380,Jackie Crawford,Jackie,Crawford,,"Stephenville, TX",/images/2020/11/10/01_Crawford_Jackie_Blue.png
101667,Winter Williams,Winter,Williams,,"Copan, OK",
102336,Kinlie Brennise,Kinlie,Brennise,,"Craig, CO",
102353,Bailey Bates,Bailey,Bates,,"Tohatchi, NM",
103077,Aspen Miller,Aspen,Miller,,"Santa Fe, TX",
103557,Molly Hamilton,Molly,Hamilton,,"Shawnee, OK",
104715,Karrigan Graves,Karrigan,Graves,,"Kentwood, LA",
105248,Hadley Parker,Hadley,Parker,,"Novice, TX",
107609,Carlee Martinez,Carlee,Martinez,,"George West, TX",
107713,Melyssa McDonald,Melyssa,McDonald,,"Post, TX",
109014,McKenna Brennan,McKenna,Brennan,,"Springtown, TX",
109416,Summer Williams,Summer,Williams,,"Mineral Wells, TX",
109492,Jessi Everett,Jessi,Everett,,"Tarzan, TX",
